ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1978-04-10T00:00:00.000+0000,-6.537635,-13.267921105186801,-0.1944647583724534,-6.537635,-6.537635,-0.28068114751137485,-0.28068114751137485,-0.28068114751137485,-0.12293622205609316,-0.12293622205609316,-0.12293622205609316,-0.15774492545528168,-0.15774492545528168,-0.15774492545528168,0,0,0,-6.818316147511375
1990-08-10T00:00:00.000+0000,-1.3656392221084965,-8.079715896376399,5.21146664282054,-1.3656392221084965,-1.3656392221084965,0.0931742486792069,0.0931742486792069,0.0931742486792069,0.3583980850233116,0.3583980850233116,0.3583980850233116,-0.26522383634410474,-0.26522383634410474,-0.26522383634410474,0,0,0,-1.2724649734292897
1996-01-01T00:00:00.000+0000,0.896032627491118,-8.704775497927482,4.5418477648813855,0.896032627491118,0.896032627491118,-2.653105982852541,-2.653105982852541,-2.653105982852541,-0.12293622205492198,-0.12293622205492198,-0.12293622205492198,-2.530169760797619,-2.530169760797619,-2.530169760797619,0,0,0,-1.757073355361423
2000-01-01T00:00:00.000+0000,2.573343577879462,-7.688976887429991,5.146131292273958,2.573343577879462,2.573343577879462,-4.162958892783482,-4.162958892783482,-4.162958892783482,-1.6327891319857255,-1.6327891319857255,-1.6327891319857255,-2.530169760797757,-2.530169760797757,-2.530169760797757,0,0,0,-1.5896153149040204
2000-02-01T00:00:00.000+0000,2.608933337949303,-4.774499618785818,8.605575792262501,2.608933337949303,2.608933337949303,-0.17689905409286472,-0.17689905409286472,-0.17689905409286472,0.6431158180461646,0.6431158180461646,0.6431158180461646,-0.8200148721390292,-0.8200148721390292,-0.8200148721390292,0,0,0,2.4320342838564386
2001-10-10T00:00:00.000+0000,3.317284369016797,-1.430447301363981,12.602233955438184,3.317284369016797,3.317284369016797,2.43429126029643,2.43429126029643,2.43429126029643,0.9534895139935967,0.9534895139935967,0.9534895139935967,1.4808017463028338,1.4808017463028338,1.4808017463028338,0,0,0,5.751575629313227
2008-01-01T00:00:00.000+0000,5.92796547865615,-3.1689962946765027,11.151523872837398,5.92796547865615,5.92796547865615,-1.8870539427519462,-1.8870539427519462,-1.8870539427519462,0.6431158180457622,0.6431158180457622,0.6431158180457622,-2.5301697607977083,-2.5301697607977083,-2.5301697607977083,0,0,0,4.040911535904204
2008-12-01T00:00:00.000+0000,6.3125644987657274,1.0207049639847208,14.976254616948689,6.3125644987657274,6.3125644987657274,1.2846980216737642,1.2846980216737642,1.2846980216737642,-0.12293622205525943,-0.12293622205525943,-0.12293622205525943,1.4076342437290237,1.4076342437290237,1.4076342437290237,0,0,0,7.597262520439491
2009-07-27T00:00:00.000+0000,6.585802011559997,0.2554238240398521,13.255041932089313,6.585802011559997,6.585802011559997,0.14602419179003015,0.14602419179003015,0.14602419179003015,-0.12293622205453891,-0.12293622205453891,-0.12293622205453891,0.26896041384456904,0.26896041384456904,0.26896041384456904,0,0,0,6.7318262033500265
2010-09-01T00:00:00.000+0000,7.046172778915044,1.0189498148106553,14.066030453666029,7.046172778915044,7.046172778915044,0.5114045448052328,0.5114045448052328,0.5114045448052328,0.953489513993576,0.953489513993576,0.953489513993576,-0.44208496918834317,-0.44208496918834317,-0.44208496918834317,0,0,0,7.557577323720277
2010-10-01T00:00:00.000+0000,7.08061448220844,1.6479212673719408,14.81548260553772,7.08061448220844,7.08061448220844,1.1123844400033112,1.1123844400033112,1.1123844400033112,0.3583980850229003,0.3583980850229003,0.3583980850229003,0.7539863549804109,0.7539863549804109,0.7539863549804109,0,0,0,8.192998922211752
2010-10-02T00:00:00.000+0000,7.0817625389848855,-0.49922156565813525,12.973715697896184,7.0817625389848855,7.0817625389848855,-0.810514440624438,-0.810514440624438,-0.810514440624438,-1.6327891319874515,-1.6327891319874515,-1.6327891319874515,0.8222746913630133,0.8222746913630133,0.8222746913630133,0,0,0,6.271248098360448
2010-12-13T00:00:00.000+0000,7.164422626889034,0.17644593014747817,13.441125846194609,7.164422626889034,7.164422626889034,-0.4005203504429813,-0.4005203504429813,-0.4005203504429813,-0.12293622205710748,-0.12293622205710748,-0.12293622205710748,-0.27758412838587376,-0.27758412838587376,-0.27758412838587376,0,0,0,6.763902276446053
2011-01-06T00:00:00.000+0000,7.191975989523751,-0.08098984793552358,13.169761118418313,7.191975989523751,7.191975989523751,-0.5975774751510423,-0.5975774751510423,-0.5975774751510423,1.2064090999998864,1.2064090999998864,1.2064090999998864,-1.8039865751509288,-1.8039865751509288,-1.8039865751509288,0,0,0,6.594398514372709
2011-07-14T00:00:00.000+0000,7.408958720272141,1.5342766375045966,14.780831454972907,7.408958720272141,7.408958720272141,0.6019779955848128,0.6019779955848128,0.6019779955848128,1.206409099999847,1.206409099999847,1.206409099999847,-0.6044311044150341,-0.6044311044150341,-0.6044311044150341,0,0,0,8.010936715856953
2012-02-11T00:00:00.000+0000,7.6523467568788,-1.6948047128145562,11.204597184756942,7.6523467568788,7.6523467568788,-3.0457621823789838,-3.0457621823789838,-3.0457621823789838,-1.6327891319869823,-1.6327891319869823,-1.6327891319869823,-1.4129730503920013,-1.4129730503920013,-1.4129730503920013,0,0,0,4.606584574499816
